"";"ano";"Estado";"Macrorregiao";"agressoes_e_confrontos";"MVII";"MCMD";"MG";"MCE";"populacao";"homicidios_Mapa_da_Violencia";"homicidios_ocultos_Mapa_da_Violencia";"MCE_total";"prop_hopmmd";"prop_hopmvii";"prop_MVII_ocultos_CMD";"homicidios_ocultos_CMD_media";"homicidios_ocultos_MVII_prop_media";"homicidios_ocultos_MVII_rand_media";"homicidios_intencionais_prop_media";"homicidios_intencionais_rand_media";"homicidios_intencionais_prop_sd";"homicidios_intencionais_rand_sd";"homicidios_intencionais_prop_li";"homicidios_intencionais_prop_ls";"homicidios_intencionais_rand_li";"homicidios_intencionais_rand_ls";"diferenca_metodos";"tx_agressoes";"tx_homicid_ajprop";"tx_homicid_ajrand";"mortes_violentas"
"1";1979;"Acre";"Norte";34;13;358;1319;91,545;292678;NA;NA;132;0,0363825363825364;0,291666666666667;0,0145530145530146;12,7383333333333;3,66766666666667;6,455;50;53;7,48922738620485;7,83771430184728;39;68;41;71;-3;11,6168622171807;17,0836209076186;18,1086381620757;144,545
"2";1980;"Acre";"Norte";26;27;453;1424;98,5263333333333;300189;NA;NA;138;0,0277777777777778;0,241071428571429;0,0288065843621399;12,5903333333333;6,32066666666667;13,4736666666667;45;52;8,72604111827729;9,53468444168277;32;66;37;74;-7;8,66121010430096;14,9905559497517;17,3224202086019;150,526333333333
"3";1981;"Acre";"Norte";28;32;506;1495;99,979;311583;NA;NA;144;0,0292929292929293;0,256637168141593;0,0333333333333333;14,835;7,89033333333333;16,021;51;59;9,86345041590034;10,9041076597133;37;74;41;84;-8;8,98636960296293;16,3680303482539;18,935564520529;158,979
"4";1982;"Acre";"Norte";41;25;538;1483;104,614333333333;323182;NA;NA;158;0,0443974630021142;0,313432835820896;0,0274841437632135;23,7513333333333;7,68766666666667;12,3856666666667;72;77;12,2677807752007;12,8213764301857;53;101;57;106;-5;12,6863501061321;22,2784684790613;23,8255843456628;181,614333333333
"5";1983;"Acre";"Norte";33;40;567;1583;98,076;334863;NA;NA;151;0,0334316617502458;0,303571428571429;0,04031465093412;19,114;11,9226666666667;19,924;64;72;11,7046567037115;13,2623723181979;46;92;50;102;-8;9,85477643095833;19,1122936842828;21,5013303948182;170,076
"6";1984;"Acre";"Norte";36;15;600;1735;130,467333333333;346756;NA;NA;174;0,0325704225352113;0,23125;0,0140845070422535;19,3376666666667;3,39333333333333;7,53266666666667;59;63;11,6164374719553;11,8564628702164;42;86;45;91;-4;10,3819400385285;17,0148461742551;18,1683950674249;193,467333333333
"7";1985;"Acre";"Norte";51;12;591;1657;112,062;358546;NA;NA;169;0,0487347703842549;0,329113924050633;0,0121836925960637;28,6093333333333;3,95266666666667;5,938;84;86;13,906375699478;13,9983002667827;63;116;64;117;-2;14,2241162919123;23,4279562455027;23,9857647275384;198,062
"8";1986;"Acre";"Norte";62;28;693;2064;175,036;369925;NA;NA;251;0,0459183673469388;0,28125;0,0211370262390671;32,438;7,82233333333333;13,964;102;108;15,9877795911223;16,5148410828563;78;139;82;146;-6;16,7601540852876;27,573156720957;29,1951071163074;283,036
"9";1987;"Acre";"Norte";98;29;647;2078;180,472333333333;381129;NA;NA;293;0,0691340782122905;0,373584905660377;0,0209497206703911;45,2183333333333;10,8396666666667;14,5276666666667;154;158;17,9979983696828;18,2249883603139;125;194;128;200;-4;25,7130787738535;40,4062666446269;41,4557800639678;338,472333333333
"10";1988;"Acre";"Norte";76;15;724;2155;145,585666666667;392153;NA;NA;229;0,0537709497206704;0,358139534883721;0,0111731843575419;39,4243333333333;5,30666666666667;7,41433333333333;121;123;17,690928805106;17,7770070282331;93;160;95;163;-2;19,3801908948803;30,8553039247437;31,3653089482931;268,585666666667
"11";1989;"Acre";"Norte";95;7;537;1780;148,547;403004;NA;NA;247;0,0771704180064309;0,398340248962656;0,00643086816720257;40,929;2,75433333333333;3,453;139;139;15,1181538251396;15,1280874207439;114;173;114;173;0;23,5729670176971;34,4909727943147;34,4909727943147;287,547
"12";1990;"Acre";"Norte";64;2;490;1530;112,019666666667;413495;NA;NA;177;0,0624399615754083;0,369318181818182;0,00288184438040346;30,105;0,746333333333333;0,980333333333333;95;95;12,7593951898497;12,7484466708587;75;125;75;125;0;15,4778171441009;22,9748848232748;22,9748848232748;207,019666666667
"13";1991;"Acre";"Norte";106;4;571;1938;164,965;422341;NA;NA;273;0,0782163742690059;0,396296296296296;0,00365497076023392;44,3843333333333;1,56333333333333;2,035;152;152;16,744702333603;16,7922448186925;125;189;125;189;0;25,0982026372055;35,9898754797663;35,9898754797663;316,965
"14";1992;"Acre";"Norte";107;13;571;2066;193,372333333333;438834;NA;NA;307;0,072192513368984;0,366101694915254;0,00935828877005348;41,4316666666667;4,78766666666667;6,62766666666667;153;155;16,3784200633073;16,3540504017732;126;190;128;192;-2;24,3827962281865;34,8651198403041;35,3208730408309;348,372333333333
"15";1993;"Acre";"Norte";116;7;606;2145;169,548666666667;455233;NA;NA;289;0,075974025974026;0,413427561837456;0,00519480519480519;46,078;2,884;3,45133333333333;165;166;17,6762941004152;17,6964834943248;136;205;137;205;-1;25,4814567485222;36,2451755474669;36,4648432780576;335,548666666667
"16";1994;"Acre";"Norte";88;15;700;2290;214,479333333333;471677;NA;NA;310;0,0559396605908234;0,300675675675676;0,0100565681961031;38,8023333333333;4,52166666666667;7,52066666666667;131;134;17,1960341900089;17,3718718520452;104;171;107;175;-3;18,6568350799382;27,7732431303625;28,4092715989968;348,479333333333
"17";1995;"Acre";"Norte";103;27;557;2184;198,467333333333;488112;NA;NA;315;0,0638820638820639;0,359861591695502;0,0171990171990172;36,2906666666667;9,64666666666667;13,5326666666667;149;153;15,4367366100463;15,7680161191254;124;183;127;188;-4;21,1017143606385;30,5257809683024;31,3452650211427;351,467333333333
"18";1996;"Acre";"Norte";104;70;567;2263;171,189333333333;504575;NA;NA;310;0,0618738951090159;0,435684647302905;0,041838538597525;36,049;30,429;34,8106666666667;170;175;15,7065086552692;18,416325010649;145;206;142;215;-5;20,6114056384086;33,6917207550909;34,6826537184759;346,189333333333
"19";1997;"Acre";"Norte";100;70;590;2272;206,997666666667;521095;NA;NA;342;0,0600118835412953;0,36996336996337;0,0421865715983363;36,7846666666667;25,638;35,0023333333333;162;172;16,5814253743369;19,2775042918918;136;200;139;214;-10;19,1903587637571;31,0883811972865;33,0074170736622;378,997666666667
"20";1998;"Acre";"Norte";110;79;719;2391;181,475666666667;537720;NA;NA;331;0,0663478780633592;0,438735177865613;0,0478182904961148;49,2086666666667;34,545;39,5243333333333;194;199;20,3763437597923;23,0834282380183;158;239;158;249;-5;20,4567432864688;36,0782563415904;37,0081083091572;380,475666666667
"21";1999;"Acre";"Norte";51;63;620;2122;163,593333333333;554541;NA;NA;246;0,0345974717232202;0,282608695652174;0,042581503659348;22,0416666666667;17,535;31,4066666666667;91;104;13,348065246975;16,4134029730159;70;122;76;139;-13;9,19679518737118;16,4099678833486;18,7542490095412;267,593333333333
"22";2000;"Acre";"Norte";106;9;725;2565;191,549666666667;587326;NA;NA;302;0,0581205866376969;0,363945578231293;0,00543183052688756;41,4906666666667;3,258;4,45033333333333;151;152;18,0532399136373;18,0229611341389;123;192;124;194;-1;18,0478984414107;25,7097421193681;25,8800053122116;343,549666666667
"23";2001;"Acre";"Norte";121;4;632;2494;198,011333333333;605327;NA;NA;321;0,0654857756307032;0,383647798742138;0,00268384326355341;41,3153333333333;1,545;1,98866666666667;164;164;16,4616064845316;16,4914393911224;137;200;138;201;0;19,989195922204;27,0927944730699;27,0927944730699;362,011333333333
"24";2002;"Acre";"Norte";151;1;542;2486;255,509;623537;NA;NA;407;0,0781491002570694;0,373464373464373;0,00102827763496144;41,7326666666667;0,394;0,491;193;193;15,44027491936;15,4457706346772;169;227;169;227;0;24,2166864195709;30,9524535031602;30,9524535031602;448,509
"25";2003;"Acre";"Norte";147;3;575;2534;211,444666666667;641931;NA;NA;360;0,0755102040816327;0,41340782122905;0,00204081632653061;42,529;1,23066666666667;1,55533333333333;191;191;16,2949403675727;16,2676601516985;164;227;165;227;0;22,8996574398183;29,7539766735054;29,7539766735054;402,444666666667
"26";2004;"Acre";"Norte";114;2;684;2676;172,002333333333;660422;NA;NA;287;0,0577019568489714;0,402097902097902;0,00150526843953838;39,128;0,808333333333333;0,997666666666667;154;154;16,909334357637;16,9021823781804;127;194;127;194;0;17,2616902525961;23,3184236745596;23,3184236745596;326,002333333333
"27";2005;"Acre";"Norte";124;3;198;2811;211,525;678929;NA;NA;337;0,0478194338179036;0,373134328358209;0,00153022188217292;9,40833333333333;1,107;1,475;135;135;5,2060989276268;5,22718822323525;126;147;127;147;0;18,2640600121662;19,8842588842132;19,8842588842132;346,525
"28";2006;"Acre";"Norte";158;8;181;2759;213,009333333333;697370;NA;NA;375;0,0616518030244281;0,432065217391304;0,00348972469949593;11,197;3,47533333333333;3,99066666666667;173;173;5,57709624772674;5,70718598606313;164;185;164;186;0;22,6565524757302;24,8074910019072;24,8074910019072;386,009333333333
"29";2007;"Acre";"Norte";137;4;156;2799;218,050666666667;715533;NA;NA;357;0,0521936459909228;0,389830508474576;0,0018910741301059;8,07933333333333;1,57533333333333;1,94933333333333;147;147;4,5437458956765;4,55361651474335;140;157;140;157;0;19,1465662659863;20,5441258474452;20,5441258474452;365,050666666667
"30";2008;"Acre";"Norte";133;7;280;2858;218,507333333333;733604;NA;NA;355;0,0519581233036061;0,383954154727794;0,00310197751066305;14,6166666666667;2,66933333333333;3,49266666666667;150;151;7,3170155736909;7,44283849328789;139;167;139;168;-1;18,1296721391923;20,4469986532244;20,5833119775792;369,507333333333
"31";2009;"Acre";"Norte";153;13;277;2892;227,502333333333;750670;NA;NA;387;0,058868501529052;0,410666666666667;0,00535168195718654;16,1526666666667;5,30833333333333;6,49766666666667;174;176;7,76603176767081;7,95565819954693;162;191;162;194;-2;20,3817922655761;23,1792931647728;23,4457218218392;403,502333333333
"32";2010;"Acre";"Norte";165;12;335;3009;268,027333333333;765021;NA;NA;439;0,0620560747663551;0,38785046728972;0,00485981308411215;20,6366666666667;4,65333333333333;5,97266666666667;190;192;9,3041257292233;9,47244892579384;175;211;176;213;-2;21,5680353872639;24,8359195368493;25,0973502688162;460,027333333333
"33";2011;"Acre";"Norte";164;11;225;3157;318,586666666667;778363;NA;NA;488;0,0562563927719059;0,345188284518828;0,00409137401977497;12,646;3,74566666666667;5,41333333333333;180;182;6,38930394935223;6,67512786391058;170;195;171;197;-2;21,0698607205122;23,125456888367;23,3824064093489;500,586666666667
"34";2012;"Acre";"Norte";208;5;257;3293;320,514;791681;208;0;531;0,068817912413566;0,396584440227704;0,00197563384919328;17,594;1,95366666666667;2,486;228;228;7,55513652545041;7,58916761938038;215;244;216;245;0;26,2732085271719;28,7994785778615;28,7994785778615;548,514
"35";2013;"Acre";"Norte";234;11;232;3318;282,470333333333;803838;235;1;522;0,0761256883705863;0,458984375;0,00388726919339164;17,5853333333333;5,04466666666667;5,52966666666667;257;257;7,60528632772685;7,75416989218741;245;274;244;274;0;29,1103431288394;31,9716161714176;31,9716161714176;539,470333333333
"36";2014;"Acre";"Norte";232;10;153;3476;312,987333333333;815526;235;3;550;0,0700962695547533;0,430683918669131;0,00330926594464501;10,8053333333333;4,33133333333333;5,01266666666667;247;248;5,25850481092339;5,42365325878758;238;259;238;260;-1;28,4478974306153;30,2872011438017;30,4098213913474;560,987333333333
"37";2015;"Acre";"Norte";217;7;198;3517;286,506666666667;826677;217;0;507;0,0656626506024096;0,435129740518962;0,00240963855421687;13,0483333333333;3,04733333333333;3,49333333333333;233;234;6,15666165356365;6,21421510560117;223;247;223;247;-1;26,2496718791015;28,1851315568233;28,3060977866809;520,506666666667
"38";2016;"Acre";"Norte";363;10;210;3763;286,997333333333;836294;366;3;655;0,102419808666292;0,563467492260062;0,00309510410804727;21,5503333333333;5,659;5,00266666666667;390;390;7,83015218987863;7,91947580540178;377;407;376;406;0;43,4057879166896;46,6343175964434;46,6343175964434;676,997333333333
"39";2017;"Acre";"Norte";516;12;127;3832;298,131;844496;517;1;820;0,139503507825148;0,639060568603214;0,00350782514840799;17,73;7,688;5,869;541;540;6,04721414644609;6,28808760132156;531;554;528;553;1;61,1015327485269;64,0618783274284;63,9434645042724;838,131
"40";2018;"Acre";"Norte";409;5;173;4094;277,5;851504;410;1;689;0,104538500764916;0,598540145985402;0,00152983171851096;18,285;3,00966666666667;2,5;430;430;6,67023254639321;6,7287344245149;419;445;418;444;0;48,0326575095361;50,4988819782409;50,4988819782409;707,5
"41";2019;"Acre";"Norte";325;14;271;4098;292,936666666667;857919;327;2;625;0,0851619644723093;0,532679738562091;0,00391849529780564;23,0806666666667;7,38533333333333;7,06333333333333;355;355;9,16217727930971;9,31605390102281;340;376;339;376;0;37,8823641858963;41,379197803056;41,379197803056;647,936666666667
"42";2020;"Acre";"Norte";304;15;612;4860;284,491;863657;306;2;596;0,0717815956695693;0,524054982817869;0,00376559190397741;44,0853333333333;7,832;7,509;356;356;17,0738690759875;17,1107381588971;328;396;328;395;0;35,1991589253604;41,2200676889089;41,2200676889089;640,491
"43";2021;"Acre";"Norte";205;3;537;5496;262,525666666667;868346;205;0;469;0,0415322580645161;0,441113490364026;0,000806451612903226;21,886;1,32166666666667;1,47433333333333;228;228;11,352687011879;11,346985410886;211;255;211;255;0;23,6081009182975;26,2568146798626;26,2568146798626;490,525666666667
"44";2022;"Acre";"Norte";238;5;252;4159;281,509666666667;872566;241;3;522;0,0611566018423746;0,461389961389961;0,0015353121801433;15,5393333333333;2,29266666666667;2,49033333333333;256;256;7,30667994764283;7,35423788214419;244;272;244;273;0;27,2758736874918;29,3387548907475;29,3387548907475;537,509666666667
"45";2023;"Acre";"Norte";217;27;210;4189;326,534;876582;NA;NA;557;0,0547738693467337;0,410546139359699;0,00703517587939699;11,4126666666667;11,0203333333333;13,466;239;242;6,50237940905684;7,49666669656646;228;254;229;258;-3;24,7552425215211;27,2649906112606;27,6072289871341;568,534
"46";2024;"Acre";"Norte";174;20;207;4267;384,96;880631;NA;NA;569;0,0430928342772716;0,318181818181818;0,00517114011327259;8,93333333333333;6,33166666666667;10,04;189;193;5,67169854524457;6,34245203278287;180;202;182;207;-4;19,7585594874584;21,4618835812048;21,9161033395372;577,96
"47";1979;"Alagoas";"Nordeste";269;9;10219;17254;695,597333333333;1943430;NA;NA;969;0,0383740761796475;0,280957336108221;0,00142126208072769;394,587;2,55833333333333;4,40266666666667;666;668;194,543604237042;194,604115613794;381;1113;383;1116;-2;13,8415070262371;34,2693073586391;34,3722181915479;1363,59733333333
"48";1980;"Alagoas";"Nordeste";280;7;10153;17421;593,460666666667;1975258;NA;NA;877;0,0386573118723346;0,322617680826636;0,00110056403907002;390,458333333333;2,25;3,53933333333333;673;674;191,075787536647;191,053657806586;388;1114;389;1115;-1;14,1753634208797;34,071498508043;34,1221248059747;1267,46066666667
"49";1981;"Alagoas";"Nordeste";392;16;9727;17608;737,949666666667;2028515;NA;NA;1138;0,0498604415123065;0,349955476402493;0,00215681299162649;483,804;5,59233333333333;8,05033333333333;881;884;211,917339795947;211,927680027274;551;1340;552;1345;-3;19,3244812091604;43,4307855746692;43,5786770124944;1621,94966666667
